Pincode,QWIK GNG.,Del Serv.,Shadowfax Serv.,Bluedart Serv,Qwik HD.,Del HD.,City,State,Zone,GNG P1,HD P1
125001,InActive,Active,Active,Active,InActive,Active,HISAR,Haryana,NORTH,SJ93,SJ93
125004,InActive,Active,Active,Active,InActive,Active,HISAR,Haryana,NORTH,SJ93,SJ93
125005,InActive,Active,Active,Active,Active,Active,HISAR,Haryana,NORTH,SJ93,SJ93
125006,InActive,Active,Active,Active,Active,Active,HISAR,Haryana,NORTH,SJ93,SJ93
125007,InActive,Active,Active,Active,InActive,Active,HISAR,Haryana,NORTH,SJ93,SJ93
125011,InActive,Active,Active,Active,InActive,Active,HISAR,Haryana,NORTH,SJ93,SJ93
125033,InActive,Active,InActive,Active,Active,Active,HANSI,Haryana,NORTH,SJ93,SJ93
125037,InActive,Active,InActive,InActive,InActive,Active,HANSI,Haryana,NORTH,SJ93,SJ93
125038,Active,Active,InActive,InActive,Active,Active,HANSI,Haryana,NORTH,SJ93,SJ93
125039,Active,Active,InActive,Active,Active,Active,HANSI,Haryana,NORTH,SJ93,SJ93
125042,InActive,Active,InActive,Active,Active,Active,MAHAM,Haryana,NORTH,SJ93,SJ93
125044,InActive,Active,Active,Active,Active,Active,HISAR,Haryana,NORTH,SJ93,SJ93
125047,InActive,Active,InActive,Active,InActive,Active,FATEHABAD,Haryana,NORTH,SJ93,SJ93
125048,InActive,Active,InActive,Active,InActive,Active,FATEHABAD,Haryana,NORTH,SJ93,SJ93
125049,InActive,Active,InActive,Active,Active,Active,HANSI,Haryana,NORTH,SJ93,SJ93
125050,InActive,Active,InActive,Active,InActive,Active,FATEHABAD,Haryana,NORTH,SJ93,SJ93
125051,InActive,Active,Not active/Embargo,Active,InActive,Active,FATEHABAD,Haryana,NORTH,SJ93,SJ93
125052,InActive,Active,Active,Active,InActive,Active,ADAMPUR,Haryana,NORTH,SJ93,SJ93
125053,InActive,Active,InActive,InActive,InActive,Active,Mandi Adampur,Haryana,NORTH,SJ93,SJ93
125054,InActive,Active,InActive,InActive,InActive,Active,FATEHABAD,Haryana,NORTH,SJ93,SJ93
125055,InActive,Active,InActive,Active,InActive,Active,SIRSA,Haryana,NORTH,SJ93,SJ93
125056,InActive,Active,InActive,InActive,InActive,Active,SIRSA,Haryana,NORTH,SJ93,SJ93
125058,InActive,Active,InActive,Active,InActive,Active,FATEHABAD,Haryana,NORTH,SJ93,SJ93
